Timestamp, Field, Value
2015-12-01T11:31:17.081Z, ParticipantID, "6"
2015-12-01T11:31:21.371Z, Demographics.Age, "28"
2015-12-01T11:31:25.256Z, Demographics.Gender, "Male"
2015-12-01T11:31:34.199Z, Demographics.Politics, "center"
2015-12-01T11:31:41.640Z, Demographics.Faith, "no-no"
2015-12-01T11:31:55.589Z, Demographics.Income, "more"
2015-12-01T11:32:04.948Z, Demographics.IncomeLifestyle, "more"
2015-12-01T11:32:10.721Z, Demographics.Education, "master-or-eq"
2015-12-01T11:32:26.820Z, Handedness.Writing, "right"
2015-12-01T11:32:27.486Z, Handedness.Drawing, "right"
2015-12-01T11:32:28.170Z, Handedness.Scissors, "right"
2015-12-01T11:32:29.138Z, Handedness.Throwing, "right"
2015-12-01T11:32:32.557Z, Handedness.Toothbrush, "right"
2015-12-01T11:32:34.110Z, Handedness.Toothbrush.also_uses_other, "True"
2015-12-01T11:32:43.336Z, Handedness.Knife, "right"
2015-12-01T11:32:44.438Z, Handedness.Knife.also_uses_other, "True"
2015-12-01T11:32:45.521Z, Handedness.Spoon, "right"
2015-12-01T11:32:47.507Z, Handedness.Spoon.also_uses_other, "True"
2015-12-01T11:32:55.249Z, Handedness.Broom.also_uses_other, "True"
2015-12-01T11:32:57.401Z, Handedness.Match, "right"
2015-12-01T11:32:59.670Z, Handedness.Box, "none"
2015-12-01T11:33:02.472Z, Handedness.Mouse, "right"
2015-12-01T11:33:05.276Z, Handedness.Broom, "none"
2015-12-01T11:33:12.133Z, Handedness.Door, "right"
2015-12-01T11:33:13.535Z, Handedness.Hammer, "right"
2015-12-01T11:33:16.554Z, Handedness.Brush, "none"
2015-12-01T11:33:21.143Z, Handedness.Cup, "right"
2015-12-01T11:33:22.059Z, Handedness.Cup.also_uses_other, "True"
2015-12-01T11:33:52.759Z, NEOPI.1, "3"
2015-12-01T11:33:57.698Z, NEOPI.2, "4"
2015-12-01T11:34:03.871Z, NEOPI.3, "3"
2015-12-01T11:34:12.410Z, NEOPI.4, "2"
2015-12-01T11:34:18.120Z, NEOPI.5, "1"
2015-12-01T11:34:23.191Z, NEOPI.6, "1"
2015-12-01T11:34:30.833Z, NEOPI.7, "0"
2015-12-01T11:34:37.140Z, NEOPI.8, "3"
2015-12-01T11:34:41.361Z, NEOPI.9, "1"
2015-12-01T11:34:51.471Z, NEOPI.10, "0"
2015-12-01T11:34:58.412Z, NEOPI.11, "3"
