Timestamp, Field, Value
2015-11-16T16:59:41.391Z, ParticipantID, "17"
2015-11-16T16:59:52.437Z, Demographics.Age, "27"
2015-11-16T16:59:55.255Z, Demographics.Gender, "Female"
2015-11-16T16:59:59.976Z, Demographics.Politics, "no-interest"
2015-11-16T17:00:14.409Z, Demographics.Faith, "no-yes"
2015-11-16T17:00:30.060Z, Demographics.Income, "more"
2015-11-16T17:00:46.094Z, Demographics.IncomeLifestyle, "exact"
2015-11-16T17:00:50.499Z, Demographics.Education, "master-or-eq"
2015-11-16T17:01:12.806Z, Handedness.Writing, "right"
2015-11-16T17:01:15.373Z, Handedness.Drawing, "right"
2015-11-16T17:01:18.411Z, Handedness.Throwing, "right"
2015-11-16T17:01:19.411Z, Handedness.Scissors, "right"
2015-11-16T17:01:20.814Z, Handedness.Toothbrush, "right"
2015-11-16T17:01:30.223Z, Handedness.Knife, "right"
2015-11-16T17:01:34.011Z, Handedness.Spoon, "right"
2015-11-16T17:01:48.328Z, Handedness.Broom, "right"
2015-11-16T17:01:51.080Z, Handedness.Match, "right"
2015-11-16T17:01:57.920Z, Handedness.Box, "right"
2015-11-16T17:01:59.272Z, Handedness.Mouse, "right"
2015-11-16T17:02:07.965Z, Handedness.Door, "right"
2015-11-16T17:02:13.990Z, Handedness.Box.also_uses_other, True
2015-11-16T17:02:20.947Z, Handedness.Hammer, "right"
2015-11-16T17:02:39.800Z, Handedness.Brush, "right"
2015-11-16T17:02:42.653Z, Handedness.Cup, "right"
2015-11-16T17:05:27.480Z, NEOPI.1, "0"
2015-11-16T17:05:35.423Z, NEOPI.2, "3"
2015-11-16T17:05:41.762Z, NEOPI.3, "3"
2015-11-16T17:05:57.996Z, NEOPI.4, "1"
2015-11-16T17:06:09.359Z, NEOPI.5, "2"
2015-11-16T17:06:44.179Z, NEOPI.6, "1"
2015-11-16T17:06:50.018Z, NEOPI.7, "1"
2015-11-16T17:06:59.012Z, NEOPI.8, "1"
2015-11-16T17:07:23.471Z, NEOPI.9, "2"
2015-11-16T17:07:52.685Z, NEOPI.10, "4"
2015-11-16T17:08:03.312Z, NEOPI.11, "3"
2015-11-16T17:08:11.420Z, NEOPI.12, "2"
2015-11-16T17:08:17.761Z, NEOPI.13, "4"
2015-11-16T17:08:24.552Z, NEOPI.14, "1"
2015-11-16T17:08:35.163Z, NEOPI.15, "3"
2015-11-16T17:08:52.015Z, NEOPI.16, "1"
2015-11-16T17:09:22.329Z, NEOPI.17, "0"
2015-11-16T17:09:28.419Z, NEOPI.18, "3"
2015-11-16T17:09:57.016Z, NEOPI.19, "3"
2015-11-16T17:10:16.754Z, NEOPI.20, "1"
2015-11-16T17:10:18.402Z, Balance.NEOPI.Page.0, True
2015-11-16T17:11:59.663Z, NEOPI.21, "2"
2015-11-16T17:12:16.531Z, NEOPI.22, "2"
2015-11-16T17:12:24.852Z, NEOPI.23, 3
2015-11-16T17:12:45.822Z, NEOPI.25, 1
2015-11-16T17:12:56.043Z, NEOPI.26, "1"
2015-11-16T17:13:08.020Z, NEOPI.24, "1"
2015-11-16T17:13:34.481Z, NEOPI.27, "0"
2015-11-16T17:13:41.672Z, NEOPI.28, "0"
2015-11-16T17:13:54.302Z, NEOPI.29, "4"
2015-11-16T17:13:59.124Z, NEOPI.30, "4"
2015-11-16T17:14:12.301Z, NEOPI.31, 1
2015-11-16T17:14:19.210Z, NEOPI.32, "0"
2015-11-16T17:14:30.030Z, NEOPI.33, 1
2015-11-16T17:14:36.712Z, NEOPI.34, "4"
2015-11-16T17:14:49.125Z, NEOPI.35, "2"
2015-11-16T17:14:54.723Z, NEOPI.36, 1
2015-11-16T17:15:01.203Z, NEOPI.37, "3"
2015-11-16T17:15:06.749Z, NEOPI.38, 4
2015-11-16T17:15:15.768Z, NEOPI.39, "1"
2015-11-16T17:15:33.453Z, NEOPI.40, "4"
2015-11-16T17:15:41.803Z, Balance.NEOPI.Page.1, True
2015-11-16T17:16:02.683Z, NEOPI.42, "1"
2015-11-16T17:16:07.989Z, NEOPI.43, "0"
2015-11-16T17:16:26.090Z, NEOPI.44, "0"
2015-11-16T17:16:41.405Z, NEOPI.41, "1"
2015-11-16T17:16:49.797Z, NEOPI.45, "0"
2015-11-16T17:17:07.727Z, NEOPI.46, 2
2015-11-16T17:17:15.842Z, NEOPI.47, "1"
2015-11-16T17:17:23.859Z, NEOPI.48, 4
2015-11-16T17:17:32.424Z, NEOPI.49, "2"
2015-11-16T17:17:43.436Z, NEOPI.50, "3"
2015-11-16T17:17:50.082Z, NEOPI.51, 1
2015-11-16T17:17:58.418Z, NEOPI.52, "3"
2015-11-16T17:18:06.776Z, NEOPI.53, "1"
2015-11-16T17:18:22.245Z, NEOPI.54, 3
2015-11-16T17:18:29.233Z, NEOPI.55, "1"
2015-11-16T17:18:44.496Z, NEOPI.56, 2
2015-11-16T17:19:00.782Z, NEOPI.57, "4"
2015-11-16T17:19:11.710Z, NEOPI.58, "4"
2015-11-16T17:19:19.449Z, NEOPI.59, 2
2015-11-16T17:19:38.186Z, NEOPI.60, "3"
2015-11-16T17:19:40.970Z, Balance.NEOPI.Page.2, True
2015-11-16T17:19:49.131Z, NEOPI.61, "1"
2015-11-16T17:19:53.736Z, NEOPI.62, "1"
2015-11-16T17:20:17.427Z, NEOPI.64, "1"
2015-11-16T17:20:38.081Z, NEOPI.66, "1"
2015-11-16T17:20:47.875Z, NEOPI.67, "3"
2015-11-16T17:20:53.237Z, NEOPI.68, 1
2015-11-16T17:21:44.784Z, NEOPI.70, "0"
2015-11-16T17:21:51.408Z, NEOPI.71, "2"
2015-11-16T17:22:11.177Z, NEOPI.72, "3"
2015-11-16T17:22:31.181Z, NEOPI.69, "3"
2015-11-16T17:22:38.021Z, NEOPI.65, "3"
2015-11-16T17:23:07.719Z, NEOPI.73, "2"
2015-11-16T17:23:18.062Z, NEOPI.74, "1"
2015-11-16T17:23:22.467Z, NEOPI.75, "4"
2015-11-16T17:23:28.073Z, NEOPI.76, "3"
2015-11-16T17:23:39.452Z, NEOPI.77, "3"
2015-11-16T17:23:46.730Z, NEOPI.78, 0
2015-11-16T17:24:15.372Z, NEOPI.79, "1"
2015-11-16T17:24:29.952Z, NEOPI.80, 1
2015-11-16T17:24:31.695Z, Balance.NEOPI.Page.3, True
2015-11-16T17:24:35.827Z, NEOPI.81, "1"
2015-11-16T17:24:40.449Z, NEOPI.82, "4"
2015-11-16T17:24:48.956Z, NEOPI.83, "3"
2015-11-16T17:24:54.946Z, NEOPI.84, "2"
2015-11-16T17:25:08.060Z, NEOPI.85, "3"
2015-11-16T17:25:19.839Z, NEOPI.86, "3"
2015-11-16T17:25:33.486Z, NEOPI.87, "1"
2015-11-16T17:26:03.087Z, NEOPI.88, 2
2015-11-16T17:26:09.756Z, NEOPI.89, "1"
2015-11-16T17:26:24.327Z, NEOPI.90, 3
2015-11-16T17:26:29.577Z, NEOPI.91, "3"
2015-11-16T17:26:35.316Z, NEOPI.92, "1"
2015-11-16T17:26:48.080Z, NEOPI.93, "1"
2015-11-16T17:26:58.190Z, NEOPI.94, "3"
2015-11-16T17:27:08.450Z, NEOPI.95, "1"
2015-11-16T17:27:12.071Z, NEOPI.96, "1"
2015-11-16T17:28:17.938Z, NEOPI.97, "1"
2015-11-16T17:28:37.075Z, NEOPI.99, "1"
2015-11-16T17:28:54.526Z, NEOPI.98, "3"
2015-11-16T17:28:55.794Z, NEOPI.100, "4"
2015-11-16T17:29:01.497Z, Balance.NEOPI.Page.4, True
2015-11-16T17:29:09.760Z, NEOPI.101, "1"
2015-11-16T17:29:23.908Z, NEOPI.102, "3"
2015-11-16T17:29:34.235Z, NEOPI.103, "1"
2015-11-16T17:29:38.272Z, NEOPI.104, "4"
2015-11-16T17:29:47.749Z, NEOPI.105, "1"
2015-11-16T17:30:02.663Z, NEOPI.106, "3"
2015-11-16T17:30:13.759Z, NEOPI.107, "2"
2015-11-16T17:30:20.682Z, NEOPI.108, "3"
2015-11-16T17:30:25.120Z, NEOPI.109, "3"
2015-11-16T17:30:30.910Z, NEOPI.110, "4"
2015-11-16T17:30:36.816Z, NEOPI.111, "1"
2015-11-16T17:30:42.555Z, NEOPI.112, "1"
2015-11-16T17:31:01.625Z, NEOPI.113, "2"
2015-11-16T17:31:14.438Z, NEOPI.114, "1"
2015-11-16T17:32:13.233Z, NEOPI.115, "0"
2015-11-16T17:32:17.720Z, NEOPI.116, "1"
2015-11-16T17:32:23.610Z, NEOPI.117, "4"
2015-11-16T17:32:27.480Z, NEOPI.118, "4"
2015-11-16T17:32:36.090Z, NEOPI.119, "2"
2015-11-16T17:32:41.328Z, NEOPI.120, "3"
2015-11-16T17:32:42.565Z, Balance.NEOPI.Page.5, True
2015-11-16T17:32:50.771Z, NEOPI.121, "2"
2015-11-16T17:32:57.415Z, NEOPI.122, 4
2015-11-16T17:33:06.055Z, NEOPI.123, "3"
2015-11-16T17:33:12.628Z, NEOPI.124, "1"
2015-11-16T17:33:17.133Z, NEOPI.125, "3"
2015-11-16T17:33:28.361Z, NEOPI.126, "1"
2015-11-16T17:33:34.767Z, NEOPI.127, "2"
2015-11-16T17:33:42.109Z, NEOPI.128, "0"
2015-11-16T17:33:56.289Z, NEOPI.129, "4"
2015-11-16T17:34:02.129Z, NEOPI.130, "0"
2015-11-16T17:34:09.686Z, NEOPI.131, "1"
