Timestamp, Field, Value
2015-12-10T17:47:55.053Z, ParticipantID, "5"
2015-12-10T17:48:19.035Z, Demographics.Age, "26"
2015-12-10T17:48:21.470Z, Demographics.Gender, "Male"
2015-12-10T17:48:37.086Z, Demographics.Politics, "left"
2015-12-10T17:48:44.443Z, Demographics.Faith, "no-no"
2015-12-10T17:49:06.967Z, Demographics.Income, "exact"
2015-12-10T17:49:17.944Z, Demographics.IncomeLifestyle, "exact"
2015-12-10T17:49:22.081Z, Demographics.Education, "master-or-eq"
2015-12-10T17:49:32.858Z, Handedness.Writing, "left"
2015-12-10T17:49:38.379Z, Handedness.Drawing, "left"
2015-12-10T17:49:44.568Z, Handedness.Throwing, "right"
2015-12-10T17:49:47.889Z, Handedness.Scissors, "left"
2015-12-10T17:49:57.497Z, Handedness.Toothbrush, "left"
2015-12-10T17:50:02.053Z, Handedness.Spoon, "left"
2015-12-10T17:50:20.171Z, Handedness.Broom, "left"
2015-12-10T17:50:22.559Z, Handedness.Broom.also_uses_other, "True"
2015-12-10T17:50:38.857Z, Handedness.Match, "right"
2015-12-10T17:50:46.047Z, Handedness.Box, "right"
2015-12-10T17:50:48.082Z, Handedness.Mouse, "right"
2015-12-10T17:50:59.579Z, Handedness.Hammer, "right"
2015-12-10T17:51:01.079Z, Handedness.Door, "left"
2015-12-10T17:51:04.350Z, Handedness.Brush, "left"
2015-12-10T17:51:07.669Z, Handedness.Cup, "right"
2015-12-10T17:51:15.344Z, Handedness.Knife, "left"
2015-12-10T17:52:10.349Z, NEOPI.2, "1"
2015-12-10T17:53:06.024Z, NEOPI.1, "1"
2015-12-10T17:53:18.303Z, NEOPI.3, "3"
2015-12-10T17:53:22.840Z, NEOPI.4, "3"
2015-12-10T17:53:33.184Z, NEOPI.5, "2"
2015-12-10T17:53:40.725Z, NEOPI.6, "0"
2015-12-10T17:53:57.943Z, NEOPI.7, "3"
2015-12-10T17:54:01.597Z, NEOPI.8, "1"
2015-12-10T17:54:11.757Z, NEOPI.9, "3"
2015-12-10T17:54:18.164Z, NEOPI.10, "0"
2015-12-10T17:54:55.285Z, NEOPI.11, "0"
2015-12-10T17:54:58.522Z, NEOPI.12, "0"
2015-12-10T17:55:05.729Z, NEOPI.13, "2"
2015-12-10T17:55:11.152Z, NEOPI.14, "1"
2015-12-10T17:55:27.351Z, NEOPI.15, "4"
2015-12-10T17:55:33.991Z, NEOPI.16, "3"
2015-12-10T17:55:47.672Z, NEOPI.18, "3"
2015-12-10T17:56:01.270Z, NEOPI.19, "4"
2015-12-10T17:56:08.243Z, NEOPI.20, "3"
2015-12-10T17:56:31.529Z, NEOPI.17, "1"
2015-12-10T17:56:33.430Z, Balance.NEOPI.Page.0, "True"
2015-12-10T17:56:44.063Z, NEOPI.22, "1"
2015-12-10T17:56:50.287Z, NEOPI.23, "2"
2015-12-10T17:57:08.005Z, NEOPI.21, "1"
2015-12-10T17:57:14.077Z, NEOPI.24, "0"
2015-12-10T17:57:21.342Z, NEOPI.25, "3"
2015-12-10T17:57:29.125Z, NEOPI.26, "1"
2015-12-10T17:57:36.783Z, NEOPI.27, "3"
2015-12-10T17:57:57.022Z, NEOPI.28, "0"
2015-12-10T17:58:05.564Z, NEOPI.29, "4"
2015-12-10T17:58:23.264Z, NEOPI.31, "1"
2015-12-10T17:59:00.969Z, NEOPI.30, "1"
2015-12-10T17:59:09.345Z, NEOPI.32, "2"
2015-12-10T17:59:34.503Z, NEOPI.34, "4"
2015-12-10T17:59:41.096Z, NEOPI.35, "3"
2015-12-10T17:59:44.997Z, NEOPI.36, "3"
2015-12-10T17:59:56.459Z, NEOPI.33, "3"
2015-12-10T18:00:06.970Z, NEOPI.38, "4"
2015-12-10T18:00:10.857Z, NEOPI.39, "0"
2015-12-10T18:00:16.513Z, NEOPI.40, "3"
2015-12-10T18:00:21.351Z, NEOPI.37, "0"
2015-12-10T18:00:22.888Z, Balance.NEOPI.Page.1, "True"
2015-12-10T18:00:39.721Z, NEOPI.42, "4"
2015-12-10T18:00:42.723Z, NEOPI.41, "3"
2015-12-10T18:01:15.490Z, NEOPI.44, "3"
2015-12-10T18:01:41.634Z, NEOPI.43, "3"
2015-12-10T18:01:43.886Z, NEOPI.45, "3"
2015-12-10T18:01:53.412Z, NEOPI.46, "3"
2015-12-10T18:01:57.784Z, NEOPI.47, "1"
2015-12-10T18:02:03.072Z, NEOPI.48, "3"
2015-12-10T18:02:22.693Z, NEOPI.49, "1"
2015-12-10T18:02:24.844Z, NEOPI.50, "3"
2015-12-10T18:02:30.384Z, NEOPI.51, "3"
2015-12-10T18:02:36.747Z, NEOPI.52, "4"
2015-12-10T18:02:43.447Z, NEOPI.53, "3"
2015-12-10T18:02:48.068Z, NEOPI.54, "4"
2015-12-10T18:02:55.432Z, NEOPI.55, "3"
2015-12-10T18:02:59.897Z, NEOPI.56, "2"
2015-12-10T18:03:12.225Z, NEOPI.57, "4"
2015-12-10T18:03:19.132Z, NEOPI.58, "4"
2015-12-10T18:03:24.438Z, NEOPI.59, "1"
2015-12-10T18:03:28.993Z, NEOPI.60, "4"
2015-12-10T18:03:31.015Z, Balance.NEOPI.Page.2, "True"
2015-12-10T18:03:36.318Z, NEOPI.61, "1"
2015-12-10T18:03:54.786Z, NEOPI.62, "3"
2015-12-10T18:04:03.628Z, NEOPI.63, "2"
2015-12-10T18:04:11.770Z, NEOPI.64, "1"
2015-12-10T18:04:24.250Z, NEOPI.65, "2"
2015-12-10T18:04:27.704Z, NEOPI.66, "0"
2015-12-10T18:04:33.193Z, NEOPI.67, "4"
2015-12-10T18:04:38.214Z, NEOPI.68, "3"
2015-12-10T18:04:48.592Z, NEOPI.69, "3"
2015-12-10T18:04:51.477Z, NEOPI.70, "1"
2015-12-10T18:05:07.043Z, NEOPI.72, "1"
2015-12-10T18:05:14.551Z, NEOPI.71, "2"
2015-12-10T18:05:29.499Z, NEOPI.73, "2"
2015-12-10T18:05:38.592Z, NEOPI.74, "1"
2015-12-10T18:05:42.630Z, NEOPI.75, "4"
2015-12-10T18:05:47.968Z, NEOPI.76, "4"
2015-12-10T18:05:55.994Z, NEOPI.77, "4"
2015-12-10T18:06:05.202Z, NEOPI.78, "2"
2015-12-10T18:06:14.580Z, NEOPI.79, "4"
2015-12-10T18:06:19.767Z, NEOPI.80, "3"
2015-12-10T18:06:21.974Z, Balance.NEOPI.Page.3, "True"
2015-12-10T18:06:30.029Z, NEOPI.81, "3"
2015-12-10T18:06:33.089Z, NEOPI.82, "0"
2015-12-10T18:06:37.820Z, NEOPI.83, "3"
2015-12-10T18:06:48.430Z, NEOPI.84, "0"
2015-12-10T18:06:57.839Z, NEOPI.85, "1"
2015-12-10T18:07:05.631Z, NEOPI.86, "2"
2015-12-10T18:07:14.296Z, NEOPI.87, "3"
2015-12-10T18:07:24.717Z, NEOPI.88, "0"
2015-12-10T18:07:46.806Z, NEOPI.90, "0"
2015-12-10T18:07:49.893Z, NEOPI.91, "4"
2015-12-10T18:07:52.828Z, NEOPI.89, "2"
2015-12-10T18:08:04.064Z, NEOPI.92, "2"
2015-12-10T18:08:10.663Z, NEOPI.93, "1"
2015-12-10T18:08:14.401Z, NEOPI.94, "4"
2015-12-10T18:08:20.410Z, NEOPI.95, "4"
2015-12-10T18:08:25.796Z, NEOPI.96, "4"
2015-12-10T18:08:28.866Z, NEOPI.97, "0"
2015-12-10T18:08:38.041Z, NEOPI.98, "1"
2015-12-10T18:08:43.181Z, NEOPI.99, "0"
2015-12-10T18:08:47.919Z, NEOPI.100, "4"
2015-12-10T18:08:48.905Z, Balance.NEOPI.Page.4, "True"
2015-12-10T18:09:03.085Z, NEOPI.101, "1"
2015-12-10T18:09:06.837Z, NEOPI.102, "4"
2015-12-10T18:09:13.077Z, NEOPI.103, "3"
2015-12-10T18:09:17.899Z, NEOPI.104, "4"
2015-12-10T18:09:23.588Z, NEOPI.105, "2"
2015-12-10T18:09:41.408Z, NEOPI.108, "3"
2015-12-10T18:09:45.911Z, NEOPI.109, "1"
2015-12-10T18:09:54.136Z, NEOPI.107, "2"
2015-12-10T18:10:09.135Z, NEOPI.106, "2"
2015-12-10T18:10:18.161Z, NEOPI.111, "1"
2015-12-10T18:10:29.289Z, NEOPI.110, "3"
2015-12-10T18:10:33.493Z, NEOPI.112, "0"
2015-12-10T18:10:39.162Z, NEOPI.113, "4"
2015-12-10T18:11:02.033Z, NEOPI.114, "1"
2015-12-10T18:11:15.195Z, NEOPI.115, "2"
2015-12-10T18:11:19.873Z, NEOPI.116, "2"
2015-12-10T18:11:28.716Z, NEOPI.118, "3"
2015-12-10T18:11:42.513Z, NEOPI.119, "1"
2015-12-10T18:11:49.872Z, NEOPI.120, "3"
2015-12-10T18:12:00.849Z, NEOPI.117, "3"
2015-12-10T18:12:02.308Z, Balance.NEOPI.Page.5, "True"
2015-12-10T18:12:07.923Z, NEOPI.121, "0"
