Timestamp, Field, Value
2015-11-18T10:30:15.940Z, ParticipantID, "2"
2015-11-18T10:30:20.753Z, Demographics.Age, "23"
2015-11-18T10:30:23.138Z, Demographics.Gender, "Male"
2015-11-18T10:30:32.497Z, Demographics.Politics, "center-right"
2015-11-18T10:31:00.285Z, Demographics.Income, "more"
2015-11-18T10:31:09.915Z, Demographics.IncomeLifestyle, "exact"
2015-11-18T10:31:12.829Z, Demographics.Education, "master-or-eq"
2015-11-18T10:31:57.199Z, Demographics.Faith, "no-no"
2015-11-18T10:32:06.143Z, Handedness.Writing, "right"
2015-11-18T10:32:14.102Z, Handedness.Drawing, "right"
2015-11-18T10:32:16.654Z, Handedness.Scissors, "right"
2015-11-18T10:32:20.434Z, Handedness.Throwing.also_uses_other, True
2015-11-18T10:32:28.028Z, Handedness.Toothbrush, "right"
2015-11-18T10:32:35.599Z, Handedness.Knife, "right"
2015-11-18T10:32:37.275Z, Handedness.Spoon, "right"
2015-11-18T10:32:42.203Z, Handedness.Broom, "left"
2015-11-18T10:32:44.959Z, Handedness.Match, "right"
2015-11-18T10:32:49.898Z, Handedness.Match.also_uses_other, True
2015-11-18T10:33:05.581Z, Handedness.Box, "right"
2015-11-18T10:33:07.065Z, Handedness.Box.also_uses_other, True
2015-11-18T10:33:24.998Z, Handedness.Mouse.also_uses_other, False
2015-11-18T10:33:26.877Z, Handedness.Mouse, "right"
2015-11-18T10:33:46.373Z, Handedness.Door, "right"
2015-11-18T10:33:48.162Z, Handedness.Door.also_uses_other, True
2015-11-18T10:33:49.456Z, Handedness.Hammer, "right"
2015-11-18T10:33:50.682Z, Handedness.Hammer.also_uses_other, True
2015-11-18T10:34:00.594Z, Handedness.Brush, "right"
2015-11-18T10:34:01.516Z, Handedness.Brush.also_uses_other, True
2015-11-18T10:34:10.212Z, Handedness.Cup, "right"
2015-11-18T10:34:11.450Z, Handedness.Cup.also_uses_other, True
2015-11-18T10:34:41.854Z, NEOPI.1, 3
2015-11-18T10:34:47.672Z, NEOPI.2, "2"
2015-11-18T10:34:50.663Z, NEOPI.3, "3"
2015-11-18T10:34:57.263Z, NEOPI.4, "4"
2015-11-18T10:35:00.927Z, NEOPI.5, "3"
2015-11-18T10:35:04.839Z, NEOPI.6, "1"
