Timestamp, Field, Value
2015-11-20T15:41:22.525Z, NEOPI.72, "3"
2015-11-20T15:41:31.434Z, NEOPI.73, "3"
2015-11-20T15:41:35.605Z, NEOPI.74, "3"
2015-11-20T15:41:42.562Z, NEOPI.75, "2"
2015-11-20T15:41:49.782Z, NEOPI.76, "3"
2015-11-20T15:41:54.242Z, NEOPI.77, "2"
2015-11-20T15:42:00.849Z, NEOPI.78, "1"
2015-11-20T15:42:06.087Z, NEOPI.79, "2"
2015-11-20T15:42:11.293Z, NEOPI.80, "2"
2015-11-20T15:42:12.642Z, Balance.NEOPI.Page.3, "True"
2015-11-20T15:42:17.171Z, NEOPI.81, "3"
2015-11-20T15:42:20.521Z, NEOPI.82, "3"
2015-11-20T15:42:24.775Z, NEOPI.83, "4"
2015-11-20T15:44:07.850Z, NEOPI.84, "2"
2015-11-20T15:44:16.258Z, NEOPI.85, "3"
2015-11-20T15:44:21.981Z, NEOPI.86, "3"
2015-11-20T15:45:25.515Z, NEOPI.87, "1"
2015-11-20T15:45:33.540Z, NEOPI.88, "2"
2015-11-20T15:45:43.534Z, NEOPI.89, "3"
2015-11-20T15:45:48.656Z, NEOPI.90, "3"
2015-11-20T15:45:53.494Z, NEOPI.91, "3"
2015-11-20T15:45:59.801Z, NEOPI.92, "2"
2015-11-20T15:46:08.511Z, NEOPI.93, "1"
2015-11-20T15:46:18.822Z, NEOPI.94, "3"
2015-11-20T15:46:23.677Z, NEOPI.95, "3"
2015-11-20T15:46:28.948Z, NEOPI.96, "3"
2015-11-20T15:46:31.784Z, NEOPI.97, "4"
2015-11-20T15:46:43.247Z, NEOPI.98, "4"
2015-11-20T15:46:48.853Z, NEOPI.99, "2"
2015-11-20T15:46:59.224Z, NEOPI.100, "3"
2015-11-20T15:47:00.091Z, Balance.NEOPI.Page.4, "True"
2015-11-20T15:47:07.239Z, NEOPI.101, "2"
2015-11-20T15:48:03.081Z, NEOPI.102, "1"
2015-11-20T15:48:13.375Z, NEOPI.103, "1"
2015-11-20T15:48:23.453Z, NEOPI.104, "4"
2015-11-20T15:48:27.890Z, NEOPI.105, "3"
2015-11-20T15:48:33.397Z, NEOPI.106, "3"
2015-11-20T15:48:36.967Z, NEOPI.107, "3"
2015-11-20T15:48:39.586Z, NEOPI.108, "4"
2015-11-20T15:48:42.290Z, NEOPI.109, "2"
2015-11-20T15:48:46.093Z, NEOPI.110, "3"
2015-11-20T15:48:49.965Z, NEOPI.111, "1"
2015-11-20T15:48:54.169Z, NEOPI.112, "2"
2015-11-20T15:49:11.887Z, NEOPI.113, "1"
2015-11-20T15:49:31.065Z, NEOPI.114, "1"
2015-11-20T15:50:03.904Z, NEOPI.115, "4"
2015-11-20T15:50:09.364Z, NEOPI.116, "4"
2015-11-20T15:50:13.453Z, NEOPI.117, "3"
2015-11-20T15:50:18.307Z, NEOPI.118, "4"
2015-11-20T15:50:22.129Z, NEOPI.119, "1"
2015-11-20T15:50:25.682Z, NEOPI.120, "3"
2015-11-20T15:50:26.528Z, Balance.NEOPI.Page.5, "True"
2015-11-20T15:50:34.241Z, NEOPI.121, "3"
2015-11-20T15:50:40.714Z, NEOPI.122, "3"
2015-11-20T15:50:43.234Z, NEOPI.123, "3"
2015-11-20T15:50:52.828Z, NEOPI.124, "1"
2015-11-20T15:50:55.279Z, NEOPI.125, "3"
2015-11-20T15:50:58.646Z, NEOPI.126, "2"
2015-11-20T15:51:05.574Z, NEOPI.127, "0"
2015-11-20T15:51:09.615Z, NEOPI.128, "1"
2015-11-20T15:51:14.017Z, NEOPI.129, "3"
2015-11-20T15:51:16.869Z, NEOPI.130, "2"
2015-11-20T15:51:20.473Z, NEOPI.131, "3"
2015-11-20T15:52:09.274Z, NEOPI.132, "3"
2015-11-20T15:52:14.396Z, NEOPI.133, "3"
2015-11-20T15:52:20.887Z, NEOPI.134, "3"
2015-11-20T15:52:29.749Z, NEOPI.135, "2"
2015-11-20T15:52:59.261Z, NEOPI.136, "2"
2015-11-20T15:53:07.036Z, NEOPI.137, "2"
2015-11-20T15:53:16.462Z, NEOPI.138, "2"
2015-11-20T15:53:20.951Z, NEOPI.139, "3"
2015-11-20T15:53:27.590Z, NEOPI.140, "1"
2015-11-20T15:53:30.274Z, Balance.NEOPI.Page.6, "True"
2015-11-20T15:53:39.620Z, NEOPI.141, "1"
2015-11-20T15:53:45.577Z, NEOPI.142, "3"
2015-11-20T15:53:48.915Z, NEOPI.143, "4"
2015-11-20T15:53:54.587Z, NEOPI.144, "3"
