Timestamp, Field, Value
2015-11-18T10:23:21.262Z, ParticipantID, "8"
2015-11-18T10:23:29.923Z, Demographics.Age, "25"
2015-11-18T10:23:33.043Z, Demographics.Gender, "Female"
2015-11-18T10:23:51.294Z, SI.8.after_average.timer, 0
2015-11-18T10:23:57.418Z, Demographics.Politics, "center-left"
2015-11-18T10:24:17.623Z, Demographics.Faith, "no-yes"
2015-11-18T10:24:35.959Z, Demographics.Income, "a-lot-more"
2015-11-18T10:24:45.035Z, Demographics.IncomeLifestyle, "more"
2015-11-18T10:24:58.265Z, Demographics.Education, "master-or-eq"
2015-11-18T10:26:19.532Z, Handedness.Writing, "right"
2015-11-18T10:26:21.951Z, Handedness.Drawing, "right"
2015-11-18T10:26:27.374Z, Handedness.Throwing, "right"
2015-11-18T10:26:28.659Z, Handedness.Throwing.also_uses_other, True
2015-11-18T10:26:32.128Z, Handedness.Scissors, "right"
2015-11-18T10:26:34.731Z, Handedness.Scissors.also_uses_other, True
2015-11-18T10:26:36.583Z, Handedness.Toothbrush, "right"
2015-11-18T10:26:42.623Z, Handedness.Knife, "right"
2015-11-18T10:26:45.243Z, Handedness.Spoon, "right"
2015-11-18T10:26:47.094Z, Handedness.Spoon.also_uses_other, True
2015-11-18T10:27:04.363Z, Handedness.Broom, "right"
2015-11-18T10:27:26.469Z, Handedness.Match, "right"
2015-11-18T10:27:27.837Z, Handedness.Match.also_uses_other, True
2015-11-18T10:27:33.793Z, Handedness.Box, "right"
2015-11-18T10:27:35.128Z, Handedness.Box.also_uses_other, True
2015-11-18T10:27:36.830Z, Handedness.Mouse, "right"
2015-11-18T10:27:38.432Z, Handedness.Mouse.also_uses_other, True
2015-11-18T10:27:39.817Z, Handedness.Door, "right"
2015-11-18T10:27:42.252Z, Handedness.Hammer, "right"
2015-11-18T10:27:43.820Z, Handedness.Hammer.also_uses_other, True
2015-11-18T10:27:45.122Z, Handedness.Brush, "right"
2015-11-18T10:27:45.973Z, Handedness.Cup, "right"
2015-11-18T10:27:47.224Z, Handedness.Cup.also_uses_other, True
2015-11-18T10:28:39.446Z, NEOPI.1, "0"
2015-11-18T10:29:25.629Z, NEOPI.2, "1"
2015-11-18T10:29:32.052Z, NEOPI.3, "3"
2015-11-18T10:29:38.107Z, NEOPI.4, "3"
2015-11-18T10:29:41.896Z, NEOPI.5, "3"
2015-11-18T10:29:47.452Z, NEOPI.6, "2"
2015-11-18T10:29:52.290Z, NEOPI.7, "1"
2015-11-18T10:29:56.027Z, NEOPI.8, "1"
2015-11-18T10:30:09.174Z, NEOPI.9, "1"
2015-11-18T10:30:37.070Z, NEOPI.11, "0"
2015-11-18T10:30:41.842Z, NEOPI.10, "1"
2015-11-18T10:30:47.448Z, NEOPI.12, "1"
2015-11-18T10:30:52.102Z, NEOPI.13, "3"
2015-11-18T10:30:58.677Z, NEOPI.14, "2"
2015-11-18T10:31:02.983Z, NEOPI.15, 3
2015-11-18T10:31:10.155Z, NEOPI.16, "3"
2015-11-18T10:31:48.612Z, NEOPI.17, "1"
2015-11-18T10:31:58.990Z, NEOPI.19, "3"
2015-11-18T10:32:00.391Z, NEOPI.18, "2"
2015-11-18T10:32:08.416Z, NEOPI.20, "1"
2015-11-18T10:32:09.730Z, Balance.NEOPI.Page.0, True
2015-11-18T10:32:35.346Z, NEOPI.21, "2"
2015-11-18T10:32:39.083Z, NEOPI.22, "1"
2015-11-18T10:32:44.638Z, NEOPI.23, "2"
2015-11-18T10:33:00.288Z, NEOPI.24, "3"
2015-11-18T10:33:03.651Z, NEOPI.25, 3
2015-11-18T10:33:08.346Z, NEOPI.26, "1"
2015-11-18T10:33:17.740Z, NEOPI.27, "0"
2015-11-18T10:33:25.615Z, NEOPI.28, "0"
2015-11-18T10:33:41.215Z, NEOPI.29, "3"
2015-11-18T10:33:45.452Z, NEOPI.30, "3"
2015-11-18T10:33:50.457Z, NEOPI.31, "2"
2015-11-18T10:34:02.870Z, NEOPI.32, "1"
2015-11-18T10:34:11.580Z, NEOPI.33, "3"
2015-11-18T10:34:14.150Z, NEOPI.34, "3"
2015-11-18T10:34:19.988Z, NEOPI.35, "3"
2015-11-18T10:34:25.295Z, NEOPI.36, "1"
2015-11-18T10:34:28.865Z, NEOPI.37, "0"
2015-11-18T10:34:34.921Z, NEOPI.38, "3"
2015-11-18T10:34:39.460Z, NEOPI.39, "3"
2015-11-18T10:35:04.936Z, NEOPI.40, "3"
2015-11-18T10:35:07.884Z, Balance.NEOPI.Page.1, True
2015-11-18T10:35:13.228Z, NEOPI.41, "4"
2015-11-18T10:35:21.854Z, NEOPI.42, "1"
2015-11-18T10:35:24.841Z, NEOPI.43, "1"
2015-11-18T10:35:32.650Z, NEOPI.44, "3"
2015-11-18T10:35:38.789Z, NEOPI.45, "1"
2015-11-18T10:35:43.144Z, NEOPI.46, "2"
2015-11-18T10:35:50.435Z, NEOPI.47, "3"
2015-11-18T10:35:53.571Z, NEOPI.48, "3"
2015-11-18T10:35:57.626Z, NEOPI.49, "1"
2015-11-18T10:36:04.283Z, NEOPI.50, "2"
2015-11-18T10:36:08.220Z, NEOPI.51, "2"
2015-11-18T10:36:11.940Z, NEOPI.52, "3"
2015-11-18T10:36:14.226Z, NEOPI.53, "1"
2015-11-18T10:36:24.254Z, NEOPI.54, "2"
2015-11-18T10:36:28.791Z, NEOPI.55, "1"
2015-11-18T10:36:32.211Z, NEOPI.56, "0"
2015-11-18T10:36:40.730Z, NEOPI.57, 3
2015-11-18T10:36:46.911Z, NEOPI.58, "3"
2015-11-18T10:36:51.548Z, NEOPI.59, "0"
2015-11-18T10:37:17.543Z, NEOPI.60, "1"
2015-11-18T10:37:20.443Z, Balance.NEOPI.Page.2, True
2015-11-18T10:37:25.951Z, NEOPI.61, "0"
2015-11-18T10:37:30.257Z, NEOPI.62, "3"
2015-11-18T10:37:36.497Z, NEOPI.63, "2"
2015-11-18T10:37:41.852Z, NEOPI.64, "0"
2015-11-18T10:37:47.624Z, NEOPI.65, "2"
2015-11-18T10:37:53.598Z, NEOPI.66, "3"
2015-11-18T10:37:58.235Z, NEOPI.67, "1"
2015-11-18T10:38:01.406Z, NEOPI.68, "1"
2015-11-18T10:38:05.794Z, NEOPI.69, "1"
2015-11-18T10:38:08.897Z, NEOPI.70, "1"
2015-11-18T10:38:16.322Z, NEOPI.71, "3"
2015-11-18T10:38:22.512Z, NEOPI.72, "2"
2015-11-18T10:38:37.378Z, NEOPI.73, "3"
2015-11-18T10:38:41.098Z, NEOPI.74, "3"
2015-11-18T10:38:44.970Z, NEOPI.75, "3"
2015-11-18T10:38:48.322Z, NEOPI.76, "4"
2015-11-18T10:38:52.760Z, NEOPI.77, "3"
2015-11-18T10:39:03.338Z, NEOPI.78, "2"
2015-11-18T10:39:08.177Z, NEOPI.79, "1"
2015-11-18T10:39:21.073Z, NEOPI.80, "2"
2015-11-18T10:39:22.235Z, Balance.NEOPI.Page.3, True
2015-11-18T10:39:25.578Z, NEOPI.81, "3"
2015-11-18T10:39:29.549Z, NEOPI.82, "3"
2015-11-18T10:39:34.320Z, NEOPI.83, "2"
2015-11-18T10:39:38.041Z, NEOPI.84, "0"
2015-11-18T10:39:41.027Z, NEOPI.85, "3"
2015-11-18T10:41:03.297Z, NEOPI.86, "1"
2015-11-18T10:41:06.468Z, NEOPI.87, "1"
2015-11-18T10:41:17.596Z, NEOPI.88, "0"
2015-11-18T10:41:21.270Z, NEOPI.89, 0
2015-11-18T10:41:27.924Z, NEOPI.90, "3"
2015-11-18T10:41:33.029Z, NEOPI.91, "4"
2015-11-18T10:41:37.707Z, NEOPI.92, 4
2015-11-18T10:41:45.760Z, NEOPI.93, "1"
2015-11-18T10:41:49.079Z, NEOPI.94, "3"
2015-11-18T10:41:54.685Z, NEOPI.95, "3"
2015-11-18T10:41:58.473Z, NEOPI.96, "1"
2015-11-18T10:42:01.209Z, NEOPI.97, "0"
2015-11-18T10:42:08.266Z, NEOPI.98, "3"
2015-11-18T10:42:15.625Z, NEOPI.99, "1"
